Column1,Name_Food,Type_Food,Method1,Method2,Method3,Method4,Method5,Method6,Method7,Method8,Method9,Method10,Method11,Method12,Method13,Method14,Method15,Method16,Method17,Method18
93,ดอกขจรผัดไข่กุ้งสด,ผัด,"
","ต้มน้ำเดือด จากนั้น นำดอกขจรไปลวกไม่ต้องลวกนาน จากนั้นนำไปแช่น้ำเย็น เพื่อรักษาความสดของดอกขจร
","นำเนื้อกุ้งล้างให้สะอาด ตัดหัว แกะเปลือก และ ผ่าเส้นที่หลังออก จากนั้นนำไปลวกให้พอสุก ให้เปลี่ยนน้ำ เนื่องจากจะทำให้กุ้งมีกลิ่นของอาหารอื่น
","นำกุ้งแห้งไปลวกในน้ำร้อน ให้กุ้งนุ่มและ คลายความเค็ม จากนั้นพักเอาก่อน
","นำวุ้นเส้นไปแช่น้ำให้เส้นมีความชื้น จากนั้น นำมาพักเอาไว้ก่อน เพื่อเตรียมนำไปผัด
","ตั้งกระทะน้ำมันให้ร้อน จากนั้นตอกไข่ลงไปผัด ตามด้วยวุ้นเส้น
","ใส่ดอกขจร เห็ดหูหนู กุ้งแห้ง และ กุ้งลวกลงไปผัด
","ปรุงรสด้วย น้ำตาล ซอสน้ำมันหอย และ ซอสถั่วเหลือง
","ผัดให้เส้นสุก ก็นำขึ้นมาเสริฟใส่จาน พร้อมสำหรับรับประทาน
",,,,,,,,,
94,ผักบุ้งผัดกะปิกุ้งสด,ผัด,"
","เตรียมเนื้อกุ้ง โดยการแกะเปลือก ผ่าเส้นที่หลังออก ตัดหัว จากนั้นพักเอาไว้ก่อน
","เตรียมผักบุ้ง โดยใช้ส่วนก้านของผักบุ้ง นำมาซอยเป็นเส้นๆ ขนาดพอดีคำ จากนั้นนำมาลวกให้น้ำเดือด ประมาณ 1 นาที จากนั้นนำมาแช่น้ำเย็น ให้ผักบุ้งคงความสด
","เตรียมกะปิ โดยน้ำกะปิมาโขรกกับหอมแดงให้ส่วนผสมเข้ากัน จากนั้นนำมาพักเอาไว้ก่อน
","เริ่มจากตั้งกระทะน้ำมันให้ร้อน จากนั้นนำกระเทียมลงไปเจียวให้เหลือง เมื่อกระเทียมเหลืองให้ใส่กุ้งลงไปผัด
","ตามด้วยกะปิที่เตรียมไว้ ผัดให้กุ้งและกะปิหอม ขั้นตอนนี้ต้องผัดให้กะปิหอมเลย ไม่เช่นนั้นกะปิจะคาว
","จากนั้นใส่น้ำตาลปี๊บลงไปผัด เมื่อน้ำตาลละลาย ให้ใส่เส้นผักบุ้งที่ลวกไว้ลงไปผัด
","ปรุงรสด้วยน้ำปลา ผัดให้เส่วนผสมเข้ากัน ก็สามารถเสริฟใส่จาน โรยหน้าด้วยพริกซอย ก็สามารถรับประทานได้
",,,,,,,,,,
95,ข้าวผัดน้ำพริกเผา,ผัด,"
","เริ่มการทำข้าวผัดโดยการนำข้าวหุงสุกไปทำให้เย็นก่อน โดยแช่เย็นไว้สัก 1 ชั่วโมง จากนั้น นำข้าวสวยมาคุลกกับน้ำพริกเผา คลุกเคล้าให้ทั่ว ขั้นตอนนี้ ทำเบาๆ อย่าให้ข้าวเละ
","จากนั้นตั้งกระทะน้ำมันให้ร้อน จากนั้น ผัด กุ้ง กระเทียม และ หอมแดง ให้มีกลิ่นหอมและ หอมแดงเริ่มเหลือง ก็นำข้าวคลุกน้ำพริกเผาลงไปผัด การผัดข้าวไม่ต้องขยี้ข้าว ให้คลุกไปคลุกมาก็พอ เวลาข้าวโดนความร้อนจะแตกตัวออกมาเอง
","จากนั้น ใส่ พริกขี้หนูสวน ลงไปผัด และ ปรุงรสด้วย น้ำตาล ซอสหอยนางรม ซอสปรุงรส ผัดให้ส่วนผสมและเครื่องปรุงเข้ากัน
","เสริฟข้าวผัดใส่จาน จัดหน้าจานด้วย ผักชี และ แตงกวา ทานคู่กับ พริกน้ำปลา
",,,,,,,,,,,,,
96,เมล่อนกุ้งผัดไข่,ผัด,"
","เริ่มจากการนำเมล่อนไปนึ่งให้สุกก่อน เนื่องจากเนื้อเมล่อนเขียวจะแข็ง ต้องหากนำมาผัดเลยจะสุกยาก และ อาจทำให้เละไม่น่ารับประทาน ให้นำไปนึ่งประมาณ 30 นาที ให้เนื้อเมล่อนนุ่มรับปรุทานได้ จากนั้นนำมาพักให้เย็นก่อน
","จากนั้น ต้องกระทะน้ำมัน ให้ร้อนปานกลาง ใส่กระเทียมลงไปผัดให้เริ่มเหลือง จากนั้นใส่กุ้งลงไปผัด
","ปรุงรสด้วย น้ำตาล น้ำปลา และซอสหอยนางรม ผัดให้ส่วนผสมเข้ากัน จึงนำไข่ลงไปผัด
","เมื่อไข่เริ่มสุกได้ที่ให้นำเมล่อนลงไปคลุกกับอาหารในกระทะ ให้เข้ากัน
","เสริฟใส่จาน พร้อมรับประทาน
",,,,,,,,,,,,
97,ข้าวผัดมันกุ้ง,ผัด,ตั้งกระทะน้ำมัน ใส่ น้ำมันหมู ลงไปผัด ใส่  กระเทียม รากผักชี และ มันกุ้ง ลงไปผัด,จากนั้นใส่ เนื้อกุ้ง ลงไปผัด พอเริ่มสุก ให้ใ่ส ข้าว ลงไปผัด,ปรุงรสด้วย น้ำตาล และ ซอสปรุงรส,ผัด ให้ส่วนผสมเข้ากัน เสริฟใส่จาน และ จัดจานด้วย แตงกวา ผักชี และ พริกไทยป่น ทานคู่กับพริกน้ำปลา,,,,,,,,,,,,,,
98,ข้าวผัดต้มยำแห้งทะเล,ผัด,ตั้งกระทะน้ำมัน เอากระเทียม รากผักชี และ พริกไทย ลงไปผัด พร้อมกับ หอย กุ้ง และ ปลาหมึก ผัดให้สุกจากนั้นตอกไขลงไป ผัด ต่อผัดให้ไข่สุกและแห้ง,ใส่ ข้าว ลงไปผัดให้เข้ากับส่วนผสม จากนั้นปรุงรสด้วย เกลือ น้ำตาล และ น้ำมะนาว,ใส่ พริกสด ตะไคร้ซอย และ ใบมะกรูดซอย ลงไปผัด เสริฟ ข้าวผัดต้มยำแห้งทะเล,,,,,,,,,,,,,,,
99,กุ้งผัดสะตอพริกแกงใต้,ผัด,ตั้งกระทะน้ำมันให้ร้อน นำกุ้งลงไปผัดให้สุก จากนั้นใส่พริกแกงใต้ลงไปผัดให้สุก,ปรุงรสด้วย น้ำตาลและน้ำปลา ใส่สะตอลงไปผัด เติมน้ำลงไปนิดหน่อย,ผัดต่อให้สะตอสุก เสริฟใส่จาก พร้อมรับประทาน กับข้าวง่ายๆ เมนูผัด,,,,,,,,,,,,,,,
100,ข้าวผัดผงกะหรี่ทะเล,ผัด,เริ่มจากหุงข้าวให้สุกก่อน จากนั้นนำไปแช่ตู้เย็นก่อน 1 คืน ให้ข้าวแข็งตัว,เตรียมเนื้อสัตว์ โดยตั้งน้ำร้อน ลวก กุ้ง ปลา และ ปลาหมึกให้สุกก่อน และ นำมาพักเอาไว้ก่อน,เริ่มผัด โดยตั้งกระทะน้ำมันให้ร้อน ตอกไข่ลงไปผัด จากนั้นปรุงรสด้วย น้ำตาลทราย เกลือ ซอสถั่วเหลือง นมสด และ ผงกะหรี่,ใส่หอมหัวใหญ่ ต้นหอม ลงไปผัด ให้สุกก่อน,ใส่ข้าวหอมมะลิลงไปผัด ผัดไปเรื่อยๆ ไม่ต้องขยี้ข้าว เมื่อส่วนผสมเข้ากับข้าว และ ข้าวแตกตัวเป็นเม็ดสวยแล้ว,ใส่เนื้อสัตว์ที่เตรียมเอาไว้ลงไปผัด ปิดไฟ เสริฟใส่จาน ทานคู่กับพริกน้ำปลา และ แตงกวา กับ ต้นหอม,,,,,,,,,,,,
101,ผัดกระเพรากุ้ง,ผัด,ต้มน้ำให้เดือด จากนั้นเอา กุ้ง ไปลวกก่อน การลวกกุ้งในน้ำเดือดก่อน จะ ทำให้กุ้งไม่คาว จากนั้นตั้งน้ำมันในกระทะจนร้อน จากนั้นใส่ กระเทียม พริก ลงไปผัดประมาณ 5-10 วินาที ผัดจนกลิ่นเริ่มหอม จากนั้น ใส่กุ้งลงไปผัด,จากนั้นปรุงรสด้วย ซอสน้ำมันหอย ซอสถั่วเหลือง น้ำตาล น้ำปลา น้ำซุปนิดหน่อย และใส่ ใบกะเพรา ลงไปในกระทะ ผัดให้ส่วนผสมเข้ากัน,"เสริฟ ผัดกระเพรากุ้ง ทานกับ ข้าวหอมมะลิ ของไทย หากให้อร่อยต้องมีไข่ดาวด้วย ทานคู่กับพริกน้ำปลา
",เนื้อกุ้ง ต้องใช้เนื้อกุ้งที่สดใหม่ วันต่อวัน ล้างให้สะอาด แกะเปลือก เมือกที่ตัวกุ้งจะเป็นส่วนที่ ทำให้กุ้งมีความคาว เสียรสชาติความอร่อย,ใบกระเพรา ที่ใช้ในการ ผัดใบกระเพรา ให้ใช้ ใบกระเพราแดง ซึ่งเป็น กระเพรา พันธ์ที่มีกลิ่นหอม ใบเล็ก นำมาทำ ผัดกระเพรา หอมอร่อย,พริกสด ให้ใช้ พริกขี้หนูสวน ผสมกับ พริกชี้ฟ้า จะทำให้รสเผ็ดและสีสันสวยงาม,กระเทียม ใช้ กระเทียมไทย ซึ่ง กระเทียมไทย จะมีความหอม มากกว่า กระเทียมจีน,การผัดกุ้ง อย่าผัดนานเกินไป เนื่องจาก กุ้ง หากสุกเกินไป เนื้อกุ้งจะแข็ง และไม่หวาน,สำหรับคนที่ไม่ชอบกินเผ็ด ก็สามารถเอาพริกออก ได้ โดยไม่ต้องใส่พริกลงไปผัด แต่ รสชาติของผัดกระเพราะ จะออกเค็มๆ แต่รสชาตินั้น ขึ้นอยู่กับคนทำ ว่า อยากให้ผัดกระเพราของเรามีรสชาติ อย่างไร ไม่ชอบกินเผ็ด ก็ ไม่ต้องใส่พริก,,,,,,,,,
102,ผัดกุ้งกับซอสหวาน,ผัด,ตั้งกระทะน้ำมันให้ร้อน นำ ขิง กระเทียม กุ้ง และ แครอท ลงไปผัด จากนั้น ปรุงรสด้วย น้ำตาล ซอสถั่วเหลือง ซอสมะเขือเทศ เหล้าจีน น้ำส้มสายชู และ น้ำเปล่า,ตามด้วย พริกหยวก จากนั้น ใส่ แป้งข้าวโพด ลงไปผัด ให้ซอสเหนียว ก็สามารถเสริฟใส่จาน พร้อมรับประทานได้ กุ้งผัดซอสหวาน,กุ้ง ใช้ กุ้งตัวใหญ่ พอดี ต้องเป็น กุ้งสดๆ ใหม่ สะอาด,ล้างกุ้งให้สะอาด อย่าให้เหลือเมือก เนื่องจากจะ ทำให้เนื้อกุ้งคาว,กุ้ง ไม่แนะนำให้ผัดนาน อย่าทำให้เนื้อกุ้งสุกเกินไป เนื่องจาก เนื้อกุ้งจะแข็ง และไม่อร่อย,กุ้ง หากเลือก กุ้งตัวใหญ่ๆ ทำให้อร่อยมากขึ้น,,,,,,,,,,,,
103,กุ้งผัดซอสมะเขือเทศ,ผัด,ตั้งกระทะน้ำมันให้ร้อน จากนั้นนำกระเทียมและหอมใหญ่ลงไปผัด ตามด้วยกุ้ง ผัดกุ้งให้สุก,ปรุงรสด้วย น้ำตาล ซอสถั่วเหลือง เหบ้าจีน เกลือ และซอสมะเขือเทศ จากนั้นใส่ไข่ไก่ลงไปผัดด้วย,ใส่นำซุปลงไปตามด้วยแป้งข้าวโพด ผัดให้เหนียว ก็เสริฟใส่จาน โรยหน้าด้วยต้นหอม,,,,,,,,,,,,,,,
104,ข้าวผัดต้มยำกุ้ง,ผัด,ตั้งกระทะ คั่วกุ้ง กับ น้ำพริกเผา ให้กุ้งสุก จากนั้นใส่ น้ำซุป ลงไป ปรุงรสด้วย น้ำปลา น้ำมะนาว และ น้ำตาล ชิมรสตามใจชอบ,ใส่ ใบมะกรูด และ ตะไคร้ ลงไปผัดให้สุก,ใส่ ข้าวสวย ลงไปผัดให้เข้ากับ น้ำซุปต้มยำ ผัดให้แห้ง จากนั้นเสริฟใส่จาน แต่งหน้าด้วย แตงกวา และ ต้นหอม ทานคู่กับ พริกน้ำปลา,กุ้ง สำหรับนำมาทำ ข้าวผัด นั้น ต้องเลือกกุ้งสดๆ วิธีการเลือกกุ้ง ให้ เลือกกุ้ง ที่มีสภาพ ของตัวกุ้งสมบูรณ์ ไม่มีกลิ่นเหม็น เนื้อกุ้งแน่น,ขนาดของกุ้ง ที่เหมาะสำหรับทำข้าวผัด ให้เลือกกุ้งขนาดพอดี ไม่เล็ก หรือใหญ่เกินไป,การผัดกุ้ง ไม่แนะนำให้ผัดนาน เนื่องจาก กุ้งที่สุกเกินไป เนื้อกุ้งจะแข็ง เนื้อจะหยาบ และไม่หวาน,ข้าวผัด สำหรับ เมนูข้าวผัด ปรุงรส ต้มยำกุ้ง การต้มต้มยำ แบบแห้งๆ จะทำให้ได้กลิ่นของต้มยำ บางคนใช้ ส่วนผสมทั้งหมดลงไป และผัดกับข้าวเลย การทำแบบนั้น จะไม่มีความหอมของต้มยำ,ข้าวสำหรับนำมา ทำข้าวผัด ให้ลือกใช้ ข้าวหอมมะลิ เป็นข้าวเก่า ข้าวสำหรับทำข้าวผัด ไม่ใช้ข้าวหุงสุกใหม่ๆ เนื่องจากข้าวหุงสุกใหม่ๆ จะมีความชื้นสูง ทำให้ข้าวเละ ไม่น่ารับประทาน,,,,,,,,,,
105,ผัดหมี่โคราช,ผัด,ตั้งกระทะน้ำมัน นำกระเทียม หอมแดง และหมูสับลงไปผัดให้หอม จากนั้นใส่เส้นหมี่โคราชลงไป,ใส่น้ำปลา น้ำตาล ซีอิ้วตำ น้ำมะขามเปียก เต้าเจี้ยว และน้ำเปล่าลงไป ผัดให้ส่วนผสมเข้ากันกับเส้นและเมื่อเส้นเริ่มนุ่มแล้ว,ใส่ถั่วงอกและใบหอมลงไปผัดกับเส้นหมี่ในกระทะ ผัดให้เข้ากัน,เสริฟใส่จานดรยหน้าด้วย พริกไทย ถั่งลิสงบดและพริกป่น,,,,,,,,,,,,,,
106,กุ้งมังกรราดซอสข่า,ผัด,เริ่มจากนำ กุ้งมังกร ไปย่าง ให้มีความสุกประมาณ 70 % ด้วยไฟร้อนปานกลาง จากนั้น แยก เนื้อกุ้ง ออกจากกระดองและหัวกุ้งออก หั่นเป็นชิ้นพอคำ จากนั้นนำมาพักไว้ก่อน,เตรียมทำซอสข่า โดย ต้มกะทิ ให้ไฟอ่อน จากนั้นใส่ ข่า ตะไคร้ ลงไปต้ม,ใส่ ใบมะกรูด ปรุงรสด้วย น้ำตาล เกลือ น้ำปลา และ พริกสด ชิมรส ให้ได้รสเค็ม มัน และ หอมข่า,จากนั้น กรองเอาแต่ น้ำกะทิ ที่ปรุงรสข่า นำ น้ำกะทิ ที่กรองมาผัดกับน้ำพริกเผาและใส่ น้ำมะนาว ลงไป,จากนั้นใส่ เนื้อกุ้งมันกร ลงไปสะดุ้งซอส และนำขึ้นมาจัดเรียงบนจานอาหารใหสวยงาม,นำหัวและหางกุ้งมังกรที่ได้จากการย่างและแยกเนื้อออกมาแต่งจาน เมนูกุ้งมังกรราดซอสขิง ให้สวยงาม แต่งหน้าด้วย พริกซอย ใบมะกรูด และ ผักชี เสร็ฟพร้อมเสริฟรับประทาน เมนูกุ้งมังกรราซอสขิง,กุ้งมังกร เลือกกุ้งขนาด 5 ขีด เป็นขนาดที่กำลังพอดีกิน ไม่ใหญ่และเล็กไป,เลือกใช้ กุ้งที่สด ใหม่ จะให้รสชาติความหวานและเนื้อแน่น เพิ่มความอร่อยของเนื้อกุ้ง,การต้มข่า เราใช้ไปอ่อนในระยะแรก ที่ต้มข่าและตะไคร้ เพื่อให้น้ำมันหอมระเหยคลายตัวออกจาก ข่า และ ตะไคร้ และจะทำให้ น้ำซุปหอมข่าและตะไคร้ มากขึ้น,ใบมะกรูด ให้เอาส่วนแกนของใบออก เนื่องจากอาจ ทำให้รสขม,การย่างกุ้ง ให้ใช้ไฟปานกลาง หากใช้ไปแรงเกินไป กระดองกุ้งจะไหม้ และเนื้อจะสุกเกินไปแข็งไม่น่ารับประทาน,การย่างกุ้งมังกร ให้หอม ให้นำ ต้นตะไคร้ วางลงตะแกรงย่างก่อนและให้วาง กุ้งทับบนตะไคร้ ความร้อนและความหอมของตะไคร้จะแทรกขึ้นมาทำให้เนื้อกุ,ใน การย่างกุ้ง ให้ย่างให้กุ้งสุกแค่ 70% พอ เพื่อไม่ให้เนื้อกุ้งสุกเกินไป ถ้าเนื้อกุ้งสุกเกินไป เนื้อจะแข็ง และไม่น่ารับประทาน,ในขั้นตอนสุดท้ายการนำเนื้อกุ้งลงไปสะดุ้งซอสข่า นั้น อย่าสะดุ้งเนื้อกุ้งนาน เนื่องจาก เนื้อกุ้ง จะสุกเกินไป เมนูนี้ ความอร่อยอยู่ที่เนื้อกุ้งที่นุ่ม หวาน และ หอมน้ำซอสข่า หากเนื้อกุ้งแข็ง ความอร่อยของเนื้อกุ้งจะลดลง,,,,
107,กุ้งผัดพริกนมสด,ผัด,ตั้งกระทะน้ำมันให้ร้อน จากนั้นนำ พริกแกงเผ็ด ลงไปผัดให้สุกจากนั้นนำ นมสด ลงไปผสมเคี่ยวให้หอมจากนั้นปรุงรส ด้วย น้ำปลา ซอสถั่วเหลือง น้ำตาล,ใส่กุ้ง พริกไทย พริกสด ใบมะกรูด และ ใบโพระพา ลงไปผัดให้สุก,เสริฟ กุ้งผัดพริกนมสด ทานกับข้าวสวยร้อนๆ,กุ้ง สำหรับนำมาทำอาหาร ให้เลือกเนื้อกุ้งที่สดๆ การสังเกตุความสดของกุ้ง ดูที่ความสมบูรณ์ของตัวกุ้ง ลักษณะของเปลือกกุ้งเกาะติดกัยเนื้อ เนื้อกุ้งแน่น ไม่มีกลิ่นเหม้นเน่า,การล้างกุ้ง ต้องแกะหัว แกะหาง ผ่าเส้นกลางหลังออก นำไปล้างให้สะอาด จะทำให้กุ้งลดความคาวลงได้,การผัดกุ้ง เนื้อกุ้งมีคุณสมบัติหนึ่งคือ เมื่อกุ้งสุกเกินไป เนื้อกุ้งจะแข็ง และหมดความหวาน ไม่อร่อย ดังนั้น อย่าผัดนาน ให้ความสุกของกุ้งพอดี,การผัดพริกแกงเผ็ด ให้ผัดให้สุก แต่ระวังพริกแกงไหม้ การสังเกตุว่าพริกแกงสุกดูอย่างไร ก็คือ พริกแกงจะส่งกลิ่นหอม แสดงว่าสุกได้ที่แล้ว,ใบมะกรูดนั้น ส่วนแกนใบจะมีรสขม ให้เอาส่วนของแแกใบออก,นมสด จะเป็นส่วนที่ทำให้เกิดความหอมมัน แต่เนื้องจาก กะทิ เวลาต้มนานๆ จะเป็นไข ไม่น่ารับประทาน การใช้นมสด จะทำให้ พริกแกงมีความหอมมันนุ่มละมุน รสชาติไม่ต่างจากกะทิเท่าไรนัก,,,,,,,,,
108,กุ้งผัดไข่เค็ม,ผัด,เริ่มจากตั้งกระทะน้ำมันให้ร้อน จากนั้นใส่ไข่แดงของไข่เค็ม ลงผัดจน โดยผัดจนเนื้อไข่เนียนละเอียด,จากนั้นปรุงรสด้วย น้ำตาลทราย น้ำมันหอย เกลือ และ พริกไทยป่น,จากนั้นใส่ กุ้งลงไปผัด พร้อมด้วย หอมหัวใหญ่ และ พริกหยวกทอด ลงผัดเบาๆ รอจนกุ้งสุก,จากนั้นปิดไฟ ใส่ต้นหอมลงไปผัด เพียงเท่านี้ก็เสร็จ สามารถเสริฟรับประทานได้,การเลือกกุ้ง ให้เลือกกุ้งขาว ขนาดใหญ่หน่อน โดยการเตรียมกุ้ง ต้องล้างให้สะอาด เอาหัวออก แกะเปลือก ผ่าหลัง และ เอาเส้นที่หลังออก ก่อนนำมาทำอาหาร ให้ล้างให้สะอาดจนน้ำล้างใส,เทคนิคการผัดกุ้ง กุ้งอย่าผัดนานเกินไป เนื่องจากหากกุ้งสุกเกินไปเนื้อกุ้งจะแข็ง ขาดความหวานของเนื้อกุ้ง,เทคนิคหนึ่งสำหรับการทำให้เนื้อกุ้งมีรสชาติ คือ การปรุงรสกุ้ง โดยให้นำเนื้อกุ้งไปหมักก่อน จะได้เนื้อกุ้งที่มีรสชาติอร่อยกว่าเนื้อกุ้งทั่วไป,การเลือกใช้ไข่เค็ม แนะนำให้ใช้ ไข่เค็มไชยา เนื่องขากไข่เค็มขึ้นชื่อ ต้องไข่เค็มไชยา เป็น ไข่เค็มใหม่ รสชาติจะพอดี ไม่เค็มเกินไป,สำหรับการนำกุ้งมาผัด หากอยากเพิ่มความอร่อย สามารถนำกุ้งมาคลุกแป้งและทอดก่อน จะได้กุ้งกรอบๆ โดยน้ำมัน สำหรับทอดกุ้ง ให้เลือกใช้น้ำมันใหม่ ให้น้ำมันท่วมตัวกุ้ง น้ำมันเก่า ห้ามนำมาใช้งาน เนื่องจาก กลิ่นของอาหารเก่า จะทำให้ อาหารเสียรสชาติ,หอมหัวใหญ่ ต้องหั่นให้เนื้อหอมใหญ่หนาหน่อย เวลาผัดสุกจะยังได้เนื้อของหอมหัวใหญ่,ต้นหอม ให้หั่นหนาๆหน่อย โดยก่อนนำลงไปผัดให้ปิดไฟ และ ให้ความร้อนของอาหารในกระทะทำให้ต้นหอมสุกเอง หากนำลงไปผัดโดยกระทะร้อนๆจะทำให้ใบหอมเละ,,,,,,,
109,ผัดไทยกุ้งสด,ผัด,ตั้งกระทะน้ำมันให้ร้อนผัดหอมแดงกับกุ้งให้สุก,ใส่เส้นผัดไทย น้ำตาล น้ำมันหอย น้ำส้มสายชู น้ำปลา และ น้ำเปล่านิดหน่อย ผัดจนเส้นนิ่ม,ใส่ถั่วงอกลงไปผัด และ นำไข่ลงไปผัด แล้ว เสริฟใส่จาน,โรยถั่วลิสงบด พริก และมะนาว อาหารไทย เมนู อาหารจานเดียว อาหารจานด่วน,ความอร่อยของผัดไทย อยู่ที่เส้น ต้องใช้เส้นจันทร์ เป็นเส้นจากจันทบุรี ซึ่งมีความขึ้นชื่อเรื่องความเหนียวนุ่ม,น้ำซอสปรุงรสจากน้ำตาลปี๊บและน้ำมะขามเปียก สามารถปรุงรสเอาไส้ก่อนได้ ยิ่งเข้มข้น ยิ่งอร่อย สำหรับผัดไทย,ถั่วงอกต้องเป็นถั่วงองขาวอวบ จะมีความกรอบหวานอร่อย,กุ้งแห้งที่ใช้ทำต้องเป็นกุ้งแห้งจากเยาวราช กุ้งตัวใหญ่ โดยต้องล้างให้สะอาด และนำไปตากแดดให้แห้งอีกครั้งถึงนำมาทำผัดไทยได้,กุ้งสด ต้องเป็นกุ้งที่สดใหม่ ตัวใหญ่ ถึงจะอร่อย โดยการเตรียมกุ้ง ต้องล้างกุ้งให้สะอาด และการผัดกุ้งนั้น ไม่ต้องผัดนาน เดียวเนื้อกุ้งแข็งจะไม่อร่อย,,,,,,,,,
110,เส้นหมี่ผัดกระเฉด,ผัด,"
","ตั้งกระทะน้ำมันให้ร้อน ใส่ กุ้งลงไปผัดให้สุก จากนั้นใส่ พริก และ กระเทียม ลงไปผัด ให้หอม
","จากนั้นใส่ น้ำซุป ลงไป ปรุงรสด้วย ซอสน้ำมันหอย ซอสถั่วเหลือง น้ำตาล
","ใส่ เส้น และ ผักกระเฉด ลงไปผัดให้เข้ากัน จากนั้นเสริใส่จานพร้อมรับประทาน กับข้าวง่ายๆ
",,,,,,,,,,,,,,
111,พาสต้าผัดต้มยำ,ผัด,ต้มเส้นพาสต้า และพักใส่จานเอาไว้,ตั้งกระทะน้ำมัน ให้ร้อน ใส่ กระเทียมลงไปผัด พอหอม ใส่ ตะไคร้ แห้ว และไก่ ลงไปผัดให้สุก,ใส่เส้นพาสต้า ผัดให้เข้ากัน เติม ซอสถั่วเหลือง ซอสน้ำมันหอย น้ำตาล มะนาว พริกไทย พริกบด ผัดจนเส้นและส่วนผสมเข้ากัน,เสริฟใส่จาน,Pasta noodle 1 pack,chicken sliced 1 cup,broccoli sliced 1 cup,pepper 1 teaspoon,Frustration sliceds 2 tablespoon,soy sauce 2 tablespoon,lemon juice 1 tablespoon,sugar 1 teaspoon,oyster sauce 1 tablespoon,cooking oil 2 tablespoon,lemongrass sliced to a small size 1 tablespoon,ginger minced 1 tablespoon,garlic mashed 1 tablespoon,chili minced 1 teaspoon
112,มะเขือม่วงผัดกะปิ,ผัด,"
","ตั้งกระทะน้ำมันให้ร้อน จากนั้นนำมะเขือม่วงและมะเขือยาว ไปสะดุ้งน้ำมัน และ นำมาพักเอาไส้ก่อน
","จากนั้นนำกุ้งสด มาสะดุ้งน้ำมันให้พอสุก เช่นกัน และ นำมาพักเอาไว้ก่อน
","เริ่มผัดโดย ตั้งกระทะน้ำมัน ใส่ กระเทียมและพริกลงไปผัด ให้หอม
","ปรุงรสด้วย ซอสหอยนางรม น้ำตาลทราย ซอสปรุงรส ซอสถั่วเหลือง เหล้าจีน และ กะปิ ผัดให้ส่วนผสมเข้ากัน
","ใส่กุ้งลงไปผัด จากนั้น ใส่ มะเขือม่วง มะเขือยาว และ ต้นหอม ลงไปผัดให้เข้ากับน้ำซอส
","ปิดไฟ เสริฟใส่จาน พร้อมรับประทานได้
",,,,,,,,,,,
