Column1,Type_Food,Name_Food,ingredint0,ingredint1,ingredint2,ingredint3,ingredint4,ingredint5,ingredint6,ingredint7,ingredint8,ingredint9,ingredint10,ingredint11,ingredint12,ingredint13,ingredint14,ingredint15,ingredint16,ingredint17,ingredint18,ingredint19,ingredint20,ingredint21,ingredint22,ingredint23,ingredint24,ingredint25
10,ยำ,ยำผักกูด,ยอดผักกูด 1 จาน,กุ้งขาว 6-7 ตัว แกะเปลือก แกะหัว ผ่าเส้นที่หลังออก,เนื้อหมูสับ 2 ช้อนโต้ะ,พริกขี้หนูสวนซอย 5-6 เม็ด,ถั่วลิงสงคั่ว 2 ช้อนโต้ะ,น้ำพริกเผา 1 ช้อนโต้ะ,น้ำปลา 2 ช้อนโต้ะ,น้ำตาลทราย 2 ช้อนโต้ะ,น้ำมะนาว 2 ช้อนโต้ะ,หอมแดงซอย 3 ช้อนโต้ะ,,,,,,,,,,,,,,,,
11,ยำ,ลาบปลาบึก,เนื้อปลาบึก หั่นเป็นชิ้น 1 จาน,ใบสาระแหน่ 2 – 3 ใบ,น้ำมะนาว 1 ช้อนโต๊ะ,น้ำปลา 1 ช้อนโต๊ะ,ข้าวคั่ว 1 ช้อนโต๊ะ,พริกป่น 1 ช้อนโต้ะ,ผักชีฝรั่งซอย 1 ช้อนโต๊ะ,หอมแดงซอย 1 หัว,ใบมะกรูด 2-3ใบ,ตะไคร้หั่นเป็นท่อน 1 ต้น,ข่าซอยเต๋าเล็กๆ 3 ช้อนโต้ะ,,,,,,,,,,,,,,,
12,ยำ,ยำไหลบัวกุ้งสด,ไหลบัว 2-3 เส้น นำมาหั่นเป็นท่อนพอดีคำ,กุ้งขาว 6-10 ตัว แกะเปลือก ผ่าหลัง แกะหัว,หอมแดงซอย 2 ช้อนโต้ะ,กระเทียมบด 1 ช้อนโต้ะ,น้ำตาลปี๊บ 1 ช้อนโต้ะ,น้ำปลา 2 ช้อนโต้ะ,น้ำมะนาว 2 ช้อนโต้ะ,น้ำพริกเผา 1 ช้อนโต้ะ,พริกขี้หนูสวน 3 ช้อนโต้ะ ซอยเล็กๆ,คื่นฉ่าย 1 ต้น ซอยเล็กๆ,ถั่วลงสงคั่ว 2 ช้อนโต้ะ,ปลาเล็กกรอบ 1 ช้อนโต้ะ,,,,,,,,,,,,,,
13,ยำ,น้ำพริกหยำ,กุ้งสดๆ 5-10 ตัว ให้แกะเปลือก ตัดหัว ตัดหาง และ ผ่าเส้นที่หลังออก,กะปิ 1 ช้อนโต๊ะ,พริกขี้หนูบด 2 ช้อนโต้ะ,ต้นหอมซอย 1 ต้น,น้ำมะนาว 2 ช้อนโต๊ะ,น้ำตาลปี๊บ 1 ช้อนโต๊ะ,เกลือป่น 1 ช้อนชา,ผักสด สำหรับทานเป็นผักเคียงใช้ทานคู่กับน้ำพริก เช่น แตงกวา มะเขือเปาะ เป็นต้น,,,,,,,,,,,,,,,,,,
14,ยำ,ข้าวยำ,ข้าวกล้องหุงสุก 1 จาน,งาดำคั่ว 2 ช้อนโต๊ะ,กุ้งแห้งป่นละเอียด 2 ช้อนโต๊ะ,พริกป่น 2 ช้อนโต๊ะ,มะนาว 1 ลูก หั่นเป็นชื้นเล็กๆ,มะพร้าวขูดคั่ว 2 ช้อนโต๊ะ,ตะไคร้ซอยบางๆ 2 ช้อนโต๊ะ,ถั่วงอก หนึ่งหยิบมือ,ใบมะกรูด2 ช้อนโต๊ะ ซอยเล็กๆ,ใบบัวบก 2 ช้อนโต๊ะ ซอยเล็กๆ,ใบชะพลู 2 ช้อนโต๊ะ ซอยเล็กๆ,เนื้อส้มโอ 2 ช้อนโต๊ะ,มะม่วง 2 ช้อนโต๊ะ ซอยเป็นเส้นๆ,ถั่วฝัก 2 ช้อนโต๊ะ ซอยเล็กๆ,น้ำเปล่า 3 ถ้วยตวง,กะปิ 1 ช้อนโต๊ะ,กระเทียมบดละเอียด 1 ช้อนโต้ะ,หอมแดง 2 หัว ทุบพอบุบ,ตะไคร้ 1 ต้น หั่นหยาบๆ,ข่าแก่ 2 ต้น,มะกรูด 1 ลูก นำมาผ่าครึ่งเอาเม็ดออก,เนื้อปลาอินทรีเค็มทอด 1 ตัว,กะปิ 2 ช้อนโต้ะ,น้ำตาลปี๊บ  2 ช้อนโต้ะ,น้ำตาลทราย 1 ช้อนโต้ะ,น้ำมะกรูด 2 ช้อนโต๊ะ
15,ยำ,เมี่ยงตะไคร้,ใบชะพลู 6-10 ใบ,ตะไคร้ 6-10 ต้น นำมาซอยให้บางๆ,พริกขี้หนูสวน 6-10 เม็ด นำมาซอยเล็กๆ,หมูหยอง 6-10 ช้อนโต้ะ,น้ำมะนาว 2 ช้อนโต้ะ,น้ำปลา 2 ช้อนโต้ะ,น้ำตาลทราย 2 ช้อนโต้ะ,ถั่วลิงสงคั่ว 3 ช้อนโต้ะ,เนื้อมะพร้าวขูดคั่ว 3 ช้อนโต้ะ,,,,,,,,,,,,,,,,,
16,ยำ,ลาบเนื้อทอด,เนื้อวัวสับ 1 ถ้วย,ผักชีฝรั่งซอย 1 ช้อนโต้ะ,ใบมะกรูดซอย 1 ช้อนโต้ะ,หอมแดงซอย 1 ช้อนโต้ะ,ข้าวคั่ว 1 ช้อนโต้ะ,พริกป่น 1 ช้อนโต้ะ,น้ำปลา 1 ช้อนโต้ะ,น้ำมะนาว 1 ช้อนโต้ะ,ไข่ขาว 1 ฟอง,แป้งอเนกประสงค์ 1 ถ้วย,น้ำมันสำหรับทอด,,,,,,,,,,,,,,,
17,ยำ,ยำเนื้อปูอโวคาโด,กรรเชียงปู 6-10 ขา,อโวลาโด (สุก) 1 ลูก,มะม่วงน้ำดอกไม้สุก 1 ลูก,พริกชี้ฟ้าซอย 2 ช้อนโต้ะ,กระเทียมซอย 2 ช้อนโต้ะ,น้ำตาลทราย 1 ช้อนโต้ะ,น้ำปลา 1 ช้อนโต้ะ,น้ำมะนาว 1 ช้อนโต้ะ,หอมแดงซอย 2 ช้อนโต้ะ,ผักชีซอย 1 ช้อนชา,พริกขี้หนูสวนซอย 1 ช้อนโต้ะ,แป้งข้าวโพดสำหรับทอด,น้ำมันพืชสำหรับทอด,,,,,,,,,,,,,
18,ยำ,ซุปหน่อไม้,หน่อสด 2 หน่อ,ปลาร้า ต้มสุกปรุงรส 1 ช้อนโต้ะ,น้ำตาลปี๊บ 1 ช้อนชา,น้ำมะนาว 2 ช้อนโต้ะ,น้ำปลา 2 ช้อนโต้ะ,พริกป่น 2 ช้อนโต้ะ,ข้าวคั่ว 2 ช้อนชา,หัวหอมแดง ซอย 2 ช้อนโต้ะ,ต้นหอม ซอย 2 ช้อนชา,ใบสาระเหน่ สำหรับบโรยหน้า,,,,,,,,,,,,,,,,
19,ยำ,ปลาดุกฟูคั่วกลิ้ง,ปลาดุก 4 – 5 ตัว,เกล็ดขนมปัง 1 ถ้วย,น้ำมันพืช 1 ขวด,หอมแดงซอย 2 ช้อนโต้ะ,กระเทียมบด 2 ช้อนโต้ะ,ข่าซอย 2 ช้อนโต้ะ,ผิวมะกรูด 2 ช้อนโต้ะ,พริกไทย 2 ช้อนโต้ะ,ขมิ้นซอย 2 ช้อนโต้ะ,ตะไคร้ซอย 2 ช้อนโต้ะ,เกลือ 1 ช้อนชา,พริกขี้หนูสวน 2 ช้อนโต้ะ,พริกแห้ง 2 ช้อนโต้ะ,กะปิ 1 ช้อนโต้ะ,น้ำตาลทรายแดง 1 ช้อนโต้ะ,น้ำตาลทราย 1 ช้อนโต้ะ,น้ำตาลปี๊บ 1 ช้อนโต้ะ,ซอสปรุงรส 2 ช้อนโต้ะ,น้ำมันหอย 2 ช้อนโต้ะ,น้ำปลา 2 ช้อนโต้ะ,ใบมะกรูดซอย 1 ถ้วย,ใบมะกรูดทอด 1 ถ้วย,,,,
20,ยำ,ลาบพวงไข่ไก่,พวงไข่ไก่ 1 ถ้วย,ใบสาระแหน่ 1 ช้อนโต๊ะ,น้ำมะนาว 2 ช้อนโต๊ะ,น้ำปลา 2 ช้อนโต๊ะ,ข้าวคั่ว 2 ช้อนโต๊ะ,ใบหอม ซอย 1 ช้อนโต๊ะ,ผักชีฝรั่ง ซอย 1 ช้อนโต๊ะ,พริกป่น 1 ช้อนโต๊ะ,น้ำตาลทราย 1 ช้อนชา,หอมแดง ซอย 3 ช้อนโต้ะ,,,,,,,,,,,,,,,,
21,ยำ,สลัดเต้าหู้,เต้าหู้ 2 แพ็ค,แตงกวาสไลน์ 1 หัว,กะหล่ำ หั่น 1 ถ้วย,มะเขือเทศหั่น 1 ลูก,ผักกาดหอม หั่นพอคำ 1 จาน,ปูอัด ฉีกเป็นเส้น 3 – 4 ชิ้น,ซอสถั่วเหลือง 2 ช้อนโต้ะ,น้ำสลัด สูตรคลีน,น้ำมันมะกอก 2 ช้อนโต้ะ,โยเกิร์ตรสธรรมชาติ 2 กระป๋อง,กระเทียมบด 1 ชา,พริกไทยดำบด 1 ช้อนโต้ะ,น้ำมะนาว 2 ช้อนโต้ะ,,,,,,,,,,,,,
22,ยำ,ลาบเป็ด,เนื้อเป็ดหั่นเป็นชิ้น 1 จาน,หนังเป็ด หั่นเป็นชิ้น 1 จาน,กระเทียมโขรก 1 จาน,ข้าวคั่ว 1 ช้อนโต้ะ,น้ำซุปเป็ด 5 ช้อนโต้ะ,น้ำปลา 1 ช้อนโต้ะ,น้ำมะนาว 1 ช้อนโต้ะ,พริกป่น 1 ช้อนโต้ะ,ต้นหอมซอย 1 ช้อนโต้ะ,หอมแดงซอย 1 ช้อนโต้ะ,ผักชีฝรั่งซอย 1 ช้อนโต้ะ,ใบสะระเหน่ 2-3 ใบ,,,,,,,,,,,,,,
23,ยำ,ยำหนวดปลาหมึก,หนวดปลาหมึก หั่นเป็นชิ้นพอคำ 1 ถ้วย,น้ำซุป 5 ช้อนโต้ะ,หอมหัวใหญ่ ซอย 2 ช้อนโต้ะ,มะเขือเทศ หั่นเป็นชิ้น 1 ลูก,คืนฉ่าย หั่นพอคำ 2 ช้อนโต้ะ,หอมแดง ซอย 1 ช้อนโต้ะ,น้ำปลา 2 ช้อนโต้ะ,น้ำมะนาว 2 ช้อนโต้ะ,น้ำตาล 2 ช้อนโต้ะ,พริกสด บด 1 ช้อนโต้ะ,เกลือ 2 ช้อนโต้ะ,,,,,,,,,,,,,,,
24,ยำ,ยำถั่วพลู,หมูสับ 3 ช้อนโต้ะ,กุ้งสด 5 – 6 ตัว,ถั่วพูซอย 1 จาน,น้ำมะนาว 2 ช้อนโต้ะ,น้ำปลา 2 ช้อนโต้ะ,น้ำตาลปี๊บ 1 ช้อนโต้ะ,หอมเจียว 2 ช้อนโต้ะ,หอมแดงซอย 2 ช้อนโต้ะ,พริกแห้งทอด 4 – 5 เม็ด,ถั่วลิสงคั่วโขรกหยาบๆ 2 ช้อนโต้ะ,ถั่วเขียวนึ่งบด 2 ช้อนโต้ะ,น้ำพริกเผา 1 ช้อนโต้ะ,กะทิ 2 ช้อนโต้ะ,ไข่ต้ม 2 ฟอง,,,,,,,,,,,,
25,ยำ,หมูย่างดอกดาหลา,น้ำปลา 2 ช้อนโต้ะ,น้ำมะนาว 1 ช้อนโต้ะ,นมข้นจืด 2 ช้อนโต้ะ,พริกไทยเม็ดบด 1 ช้อนโต้ะ,ซอสปรุงรส 2 ช้อนโต้ะ,ซอสน้ำมันหอย  1 ช้อนโต้ะ,เนื้อหมูสันใน 1 ขีด,รากผักชีบดหยาบ 1 ช้อนโต้ะ,กระเทียมบด 1 ช้อนโต้ะ,ดอกดาหลา เอาส่วนกลีบดอก ซอยเป็นเส้น 1 จาน,ตะลิงปลิง ซอยหยาบๆ 3 ผล,น้ำตาลปี๊บ 2 ช้อนโต้ะ,น้ำพริกเผา 1 ช้อนโต้ะ,พริกสดโขรกหยาบ 2 ช้อนโต้ะ,หอมเจียว 2 ช้อนโต้ะ ,ไข่ต้มยางมะตูม 2 ลูก,,,,,,,,,,
26,ยำ,ยำหูหมูแก้ว,หูหมูแก้ว หั่นเป็นชิ้นพอคำ 1 จาน,น้ำเชื่อม 2 ช้อนโต้ะ,น้ำปลา 2 ช้อนโต้ะ,น้ำมะนาว 2 ช้อนโต้ะ,พริกสด บด 1 ช้อนโต้ะ,หอมใหญ่ ซอย 2 ช้อนโต้ะ,มะเขือเทศ หั่น 2 ช้อนโต้ะ,ใบหอม ซอยหยาบๆ 2 ช้อนโต้ะ,ผัก สำหรับแต่งหน้า เช่น ผักกาดหอม แตงกวา เป็นต้น,,,,,,,,,,,,,,,,,
27,ยำ,ยำหมูกรอบ,หมูกรอบ หั่นเป็นชิ้นพอคำ 1 จาน ,พริกสด ซอย 1 ช้อนโต้ะ,น้ำตาล 1 ช้อนโต้ะ,น้ำปลา 1 ช้อนโต้ะ,น้ำมะนาว 1 ช้อนโต้ะ,หอมแดง ซอย 1 ช้อนโต้ะ,ผักชี ซอย 1 ช้อนโต้ะ,แตงกวา ซอย 1 ช้อนโต้ะ,,,,,,,,,,,,,,,,,,
28,ยำ,ปลากระพงผัดต้มยำแห้ง,เนื้อปลากระพง หั่นเป็นเส้น 1 ถ้วย,แป้งสาลี สำหรับคลุกปลาใน การทอด,ใบกระเพรา 1 กำมือ,น้ำตาล 4 ช้อนโต้ะ,น้ำปลา 4 ช้อนโต้ะ,น้ำมะนาว 4 ช้อนโต้ะ,ข่า สับละเอียด 1 ช้อนโต้ะ,ตะไคร้ สับละเอียด 1 ช้อนโต้ะ,ใบมะกรูด ซอย 1 ช้อนชา,พริกสด ซอย 1 ช้อนโต้ะ,แป้งมัน 1 ช้อนชา,นำมันพืช 1 ช้อนโต้ะ,น้ำพริกเผา 1 ช้อนชา,,,,,,,,,,,,,
29,ยำ,ยำดอกขจรกุ้งสด,ดอกขจร 1 ถ้วย,กุ้งสด 5 ตัว ( แกะเปลือกกุ้งออก ),หมูสับ 5 ช้อนโต้ะ,หอมใหญ่หั่น 3 ช้อนโต้ะ,มะเขือเทศหั่น 1 ถ้วย,วุ้นเส้น 1 ถ้วย,น้ำปลา 2 ช้อนโต๊ะ,น้ำตาล 2 ช้อนโต๊ะ,น้ำมะนาว 2 ช้อนโต๊ะ,พริกสดบด 2 ช้อนโต้ะ,,,,,,,,,,,,,,,,
30,ยำ,สะเดาทรงเครื่อง,ปลาดุก 1 ตัว,ใบสะเดา และ ยอดสะเดา 1 ถ้วย,น้ำมะขามเปียก 5 ช้อนโต้ะ,น้ำเปล่า 10 ช้อนโต้ะ,ถั่วลิสงคั่ว 2 ช้อนโต้ะ,เกร็ดขนมปัง 4 ช้อนโต้ะ,น้ำมันพืช สำหรับทอด,น้ำตาลปี๊บ 5 ช้อนโต้ะ,น้ำปลา 3 ช้อนโต้ะ,หอมเจียว 2 ช้อนโต้ะ ,พริกทอด 2 ช้อนโต้ะ,,,,,,,,,,,,,,,
31,ยำ,ยำสตรอเบอร์รี่กุ้งสด,กุ้งสด 1 ถ้วย ( แกะเปลือกกุ้งออก ),หมูสับ 5 ช้อนโต้ะ,สตอเบอรี่ หั่นครึ่ง 1 ถ้วย,หอมใหญ่ หั่น 3 ช้อนโต้ะ,ต้นหอม ซอยหยาบๆ 3 ช้อนโต้ะ,มะเขือเทศ หั่น 1 ถ้วย,วุ้นเส้น 1 ถ้วย,น้ำปลา 2 ช้อนโต๊ะ,น้ำตาล 2 ช้อนโต๊ะ,น้ำมะนาว 2 ช้อนโต๊ะ,พริกสด บด 2 ช้อนโต้ะ,,,,,,,,,,,,,,,
32,ยำ,ลาบไก่เส้นบุก,เส้นบุก ½ ถ้วย,เนื้ออกไก่สับ ½ ถ้วย,น้ำมะนาว 1 ช้อนโต้ะ,น้ำตาล 1 ช้อนชา,น้ำปลา 1 ช้อนโต้ะ,ข้าวคั่วบด 1 ช้อนชา,พริกป่น 1 ช้อนชา,ใบสะระแหน่ 5-10 ใบ,ต้นหอม ซอย 1 ช้อนโต้ะ,หอมแดง ซอย 1 ช้อนโต้ะ,,,,,,,,,,,,,,,,
33,ยำ,พล่าหนวดปลาหมึก,หนวดปลาหมึก 1 ถ้วย,ตะไคร้ ซอย 2 ช้อนโต้ะ,หอมใหญ่ ซอย 2 ช้อนโต้ะ,ใบหอม ซอย 1 ช้อนโต้ะ,หมูสับลวก 1 ช้อนโต้ะ,ผักชี ซอย 1 ช้อนโต๊ะ,ใบมะกรูด ซอย 1 ช้อนโต้ะ,ใบสาระแหน่ 1 ช้อนโต้ะ,พริกสด ซอย 3 ช้อนโต้ะ,น้ำพริกเผา 1 ช้อนโต๊ะ,น้ำมะนาว 2 ช้อนโต๊ะ,น้ำปลา 3 ช้อนโต๊ะ,น้ำตาล 2 ช้อนโต้ะ,น้ำซุป 5 ช้อนโต้ะ,,,,,,,,,,,,
34,ยำ,พล่าเต้าหู้ทอดกรอบ,เต้าหู้แผ่นหั่นเป็นชิ้นพอคำ 1 จาน,ขิงอ่อนซอย 2 ช้อนโต้ะ,หอมแดงซอย 1 ช้อนโต๊ะ,ใบมะกรูดซอย 1 ช้อนโต๊ะ,ตะไคร้ซอย 1 ช้อนโต้ะ,แครอทซอย 2 ช้อนโต้ะ,ผักชีฝรั่งซอย 1 ช้อนโต๊ะ,ผักชีซอย 1 ช้อนชา,พริกสดซอย 2 ช้อนโต๊ะ,ถั่วลิสงทอด 2 ช้อนโต๊ะ,น้ำตาลปี๊บ 2 ช้อนโต๊ะ,น้ำมะขามเปียก 1 ช้อนโต๊ะ,เกลือ 1 ช้อนชา,น้ำเปล่า 1 ช้อนโต๊ะ,น้ำมะนาว 1 ช้อนโต๊ะ,น้ำมันพืช 1 ถ้วย,,,,,,,,,,
35,ยำ,ยำขนมจีน,ขนมจีน 3 จับ,กะปิ 1 ช้อนโต้ะ,น้ำเชื่อม 2 ช้อนโต้ะ,น้ำมะนาว 2 ช้อนโต้ะ,พริกสด บด 2 ช้อนโต้ะ,กระเทียม บด 1 ช้อนชา,มะเขือเทศ หั่น 2 ลูก,ยอดชะอม 5-6 ยอด,กุ้งแห้ง 2 ช้อนโต้ะ,ถั่วฝักยาวซอย หยาบๆ 3 ช้อนโต้ะ,,,,,,,,,,,,,,,,
36,ยำ,ยำส้มโอ,ส้มโอ ปลอกเปลือก เอาเฉพาะเนื้อส้มโอ 1 ถ้วย,กุ้งสด 5-6 ตัว,เนื้ออกไก่ต้มฉีกเป้นเส้น 3 ช้อนโต๊ะ,พริกเผา 1 ช้อนโต๊ะ,น้ำตาลปี๊บ 1 ช้อนโต๊ะ,น้ำปลา 1 ช้อนโต๊ะ,น้ำมะนาว 1 ช้อนโต๊ะ,น้ำเปล่า 1 ช้อนโต๊ะ,พริกสดบด 2 ช้อนโต๊ะ,เนื้อมะพร้าวขูดคั่ว 2 ช้อนโต๊ะ,ถั่วลิสงคั่ว 2 ช้อนโต๊ะ,หอมเจียว 1 ช้อนโต๊ะ,,,,,,,,,,,,,,
37,ยำ,แหนมคลุก,ข้าวหุงสุก 1 ถ้วย,พริกแกงเผ็ด 2 ช้อนโต้ะ,น้ำปลา 2 ช้อนโต้ะ,น้ำตาล 1 ช้อนโต้ะ,แป้งข้าวเจ้า 2 ช้อนโต้ะผสมน้ำเปล่า 4 ช้อนโต้ะ,มะพร้าวขูด 1 ช้อนโต้ะ,ใบมะกรูดซอย 1 ช้อนโต้ะ,หมูสับ 2 ช้อนโต้ะ,ไข่ไก่ 1 ฟอง,หนังหมูลวกสุกซอย 2 ช้อนโต้ะ,พริกป่น 1 ช้อนโต้ะ,แหนมสด 2-3 ชิ้น,น้ำมะนาว 2 ช้อนโต้ะ,น้ำปลา 2 ช้อนโต้ะ,ถั่วลิสงคั่ว 2 ช้อนโต้ะ,ขิงซอย 2 ช้อนโต้ะ,หอมแดงซอย 2 ช้อนโต้ะ,ต้นหอมซอย 1 ช้อนโต้ะ,ผักสดสำหรับทานกับแหนมคลุก,,,,,,,
38,ยำ,ส้มตำปลาดุกฟู,มะละกอดิบขูดเส้น 1 จาน,แครอทขูดเส้น 1/2 จาน,กระเทียม 3 กลีบ,น้ำตาลปี๊บ 1 ช้อนโต้ะ,น้ำมะนาว 1 ช้อนโต้ะ,น้ำปลา 1 ช้อนโต้ะ,พริกสด 3 เม็ด,มะเขือเทศ 1 ลูก,ปลาดุก 1 ตัว,น้ำมันสำหรับทอด,,,,,,,,,,,,,,,,
39,ยำ,ยำมะระ,มะระสด ซอยเป็นชิ้น 10 – 15 ชิ้น ,น้ำซุป 5 – 8 ช้อนโต้ะ,หอมหัวใหญ่ ซอย 2 – 3 ช้อนโต้ะ,มะเขือเทศ หั่นเป็นชิ้น 1 ลูก,หอมแดง ซอย 1 ช้อนโต้ะ,กุ้งสด 4 – 5 ตัว,น้ำปลา 2 ช้อนโต้ะ,น้ำมะนาว 2 ช้อนโต้ะ,น้ำตาล 2 ช้อนโต้ะ,พริกสด บด 1 ช้อนโต้ะ,เกลือ 2 ช้อนโต้ะ,,,,,,,,,,,,,,,
